"","Symbol","Date","Open","High","Low","Close","Adj.Close","Volume"
"1889","RTN","2018-01-19",196.770004,197.399994,195.830002,196.679993,196.679993,1226200
"1890","RTN","2018-01-22",196.100006,196.809998,194.089996,196.369995,196.369995,1178400
"1891","RTN","2018-01-23",196.580002,196.75,195.529999,196.229996,196.229996,1109900
"1892","RTN","2018-01-24",196.600006,198.559998,196.089996,198.089996,198.089996,1732300
"1893","RTN","2018-01-25",198.309998,204.389999,198.309998,202.839996,202.839996,3012400
"1894","RTN","2018-01-26",203.910004,209.279999,203.910004,208.910004,208.910004,2809300
"1895","RTN","2018-01-29",210.539993,212.690002,209.309998,211.220001,211.220001,1790600
"1896","RTN","2018-01-30",210.270004,210.490005,206.419998,209.179993,209.179993,2474400
"1897","RTN","2018-01-31",210.199997,211.949997,208.940002,208.940002,208.940002,1951200
"1898","RTN","2018-02-01",208.589996,213.449997,208.320007,210.850006,210.850006,1891000
"1899","RTN","2018-02-02",209.520004,210.440002,206.660004,206.800003,206.800003,2430500
"1900","RTN","2018-02-05",204.309998,208,191,198.360001,198.360001,3119200
"1901","RTN","2018-02-06",195.130005,201.990005,193.770004,201.130005,201.130005,2794400
"1902","RTN","2018-02-07",201.149994,208.550003,201.149994,204.320007,204.320007,2264100
"1903","RTN","2018-02-08",207.059998,207.330002,198.559998,198.740005,198.740005,3107500
"1904","RTN","2018-02-09",201.179993,206.740005,199.009995,204.520004,204.520004,3402300
"1905","RTN","2018-02-12",206,209.979996,204.119995,207.520004,207.520004,2134000
"1906","RTN","2018-02-13",206.570007,210.289993,205.759995,209.529999,209.529999,1389300
"1907","RTN","2018-02-14",208.589996,212.910004,208.210007,212.580002,212.580002,1865600
"1908","RTN","2018-02-15",214.070007,218.190002,213.559998,218.179993,218.179993,2190900
"1909","RTN","2018-02-16",217.679993,218.779999,215.899994,217.729996,217.729996,1448200
"1910","SBUX","2018-01-17",61,61.330002,60.52,60.66,60.332756,8433800
"1911","SBUX","2018-01-18",61.43,61.439999,60.740002,61.09,60.760437,9170900
"1912","SBUX","2018-01-19",61.209999,61.459999,60.950001,61.259998,60.92952,8361900
"1913","SBUX","2018-01-22",61.040001,61.470001,60.77,61.41,61.078712,11945800
"1914","SBUX","2018-01-23",61.32,61.91,61.139999,61.689999,61.357201,10806800
"1915","SBUX","2018-01-24",61.509998,61.939999,60.23,60.830002,60.501842,11911900
"1916","SBUX","2018-01-25",61.029999,61.200001,60.400002,60.549999,60.223351,16225600
"1917","SBUX","2018-01-26",57.939999,58.169998,56.549999,57.990002,57.677162,51851700
"1918","SBUX","2018-01-29",57.549999,58.349998,56.91,57.02,56.712395,18899900
"1919","SBUX","2018-01-30",56.959999,57.540001,56.740002,57.189999,56.881477,14341200
"1920","SBUX","2018-01-31",57.23,57.450001,56.700001,56.810001,56.503529,13118400
"1921","SBUX","2018-02-01",56.279999,56.419998,55.889999,56,55.697899,14690100
"1922","SBUX","2018-02-02",55.900002,56.32,55.700001,55.77,55.469139,15358900
"1923","SBUX","2018-02-05",55.529999,56.259998,54.57,54.689999,54.394962,16060000
"1924","SBUX","2018-02-06",53.689999,56.060001,53.560001,55.610001,55.310001,17415100
"1925","SBUX","2018-02-07",55.080002,55.43,54.439999,54.459999,54.459999,13927000
"1926","SBUX","2018-02-08",54.5,54.790001,53.75,53.77,53.77,17736700
"1927","SBUX","2018-02-09",54.200001,55.060001,53.650002,54.580002,54.580002,19382000
"1928","SBUX","2018-02-12",54.860001,55.73,54.549999,55.380001,55.380001,10969000
"1929","SBUX","2018-02-13",55.25,55.720001,55.02,55.669998,55.669998,10416400
"1930","SBUX","2018-02-14",55.470001,56.700001,55.290001,55.990002,55.990002,14190300
"1931","SBUX","2018-02-15",56.360001,56.830002,55.900002,56.580002,56.580002,10294900
"1932","SBUX","2018-02-16",56.650002,57.049999,56.34,56.48,56.48,10146500
"1933","SLB","2018-01-17",77,77.790001,76.410004,77.209999,76.66893,8009600
"1934","SLB","2018-01-18",76.57,77.470001,75.690002,76.370003,75.834824,10588500
"1935","SLB","2018-01-19",75,77.18,74.25,76.419998,75.884468,13389800
"1936","SLB","2018-01-22",77.040001,79.879997,76.839996,79.790001,79.230858,13192700
"1937","SLB","2018-01-23",79.82,80.349998,78.580002,79.209999,78.654915,9332600
"1938","SLB","2018-01-24",78.959999,79.25,77.669998,78.18,77.632133,10369000
"1939","SLB","2018-01-25",78.980003,79.089996,77.230003,77.330002,76.788094,7142000
"1940","SLB","2018-01-26",77.690002,78.18,77.389999,77.610001,77.066132,6055300
"1941","SLB","2018-01-29",77.089996,77.410004,76.099998,76.379997,75.844749,7877900
"1942","SLB","2018-01-30",75.400002,75.790001,73.93,74.540001,74.017647,11371000
"1943","SLB","2018-01-31",74.889999,74.949997,73.110001,73.580002,73.064377,10198700
"1944","SLB","2018-02-01",73.790001,75.559998,73.790001,75.510002,74.98085,8671600
"1945","SLB","2018-02-02",74.879997,75.25,73.360001,73.690002,73.173607,9066600
"1946","SLB","2018-02-05",72.849998,74.379997,70.589996,71.349998,70.849998,11310300
"1947","SLB","2018-02-06",69.510002,72.559998,69,71.040001,71.040001,12391900
"1948","SLB","2018-02-07",71.150002,72.529999,69.620003,69.75,69.75,7345000
"1949","SLB","2018-02-08",69.800003,69.900002,67.349998,67.400002,67.400002,12186000
"1950","SLB","2018-02-09",68.18,68.370003,63.369999,65.190002,65.190002,19725600
"1951","SLB","2018-02-12",66.370003,67.68,66.269997,66.839996,66.839996,11382800
"1952","SLB","2018-02-13",66.629997,66.860001,65.68,65.919998,65.919998,7959900
"1953","SLB","2018-02-14",65.339996,66.269997,64.57,65.870003,65.870003,13030900
"1954","SLB","2018-02-15",66.25,66.25,64.82,66.209999,66.209999,8844500
"1955","SLB","2018-02-16",66.150002,67.290001,65.900002,66.279999,66.279999,7475600
"1956","SO","2018-01-17",44.619999,45.279999,44.560001,45.049999,44.463619,10598400
"1957","SO","2018-01-18",44.970001,45.139999,44.259998,44.900002,44.315575,9885100
"1958","SO","2018-01-19",44.990002,45.07,44.41,44.439999,43.861561,8808600
"1959","SO","2018-01-22",44.610001,44.720001,43.970001,44.040001,43.46677,9649500
"1960","SO","2018-01-23",43.669998,44.75,43.16,44.470001,43.891171,10273700
"1961","SO","2018-01-24",44.439999,44.59,44.080002,44.080002,43.506248,8133000
"1962","SO","2018-01-25",44.080002,44.689999,44.029999,44.619999,44.039219,6763800
"1963","SO","2018-01-26",44.650002,44.84,43.98,44.310001,43.733253,8851900
"1964","SO","2018-01-29",44.169998,44.209999,43.849998,43.990002,43.417419,5900400
"1965","SO","2018-01-30",43.98,44.919998,43.98,44.799999,44.216877,8254700
"1966","SO","2018-01-31",44.75,45.150002,44.509998,45.110001,44.522842,9355200
"1967","SO","2018-02-01",45.110001,45.299999,44.220001,44.380001,43.802345,9120700
"1968","SO","2018-02-02",44.200001,44.529999,44.02,44.169998,43.595074,7211600
"1969","SO","2018-02-05",44.23,44.720001,43.52,43.720001,43.150936,9907400
"1970","SO","2018-02-06",43.34,43.880001,42.630001,43.490002,42.923927,14707700
"1971","SO","2018-02-07",43.389999,43.93,43.18,43.34,42.775879,10125300
"1972","SO","2018-02-08",43.200001,44.049999,43.029999,43.400002,42.835098,9475700
"1973","SO","2018-02-09",43.380001,44.650002,43.299999,44.330002,43.752995,11018600
"1974","SO","2018-02-12",44.330002,44.869999,43.970001,44.68,44.098438,7209700
"1975","SO","2018-02-13",44.580002,44.84,44.099998,44.619999,44.039219,6832400
"1976","SO","2018-02-14",44.349998,44.43,43.560001,43.580002,43.012756,8010300
"1977","SO","2018-02-15",43.849998,44.57,43.73,44.560001,43.98,8512300
"1978","SO","2018-02-16",43.98,44.060001,43.509998,43.93,43.93,7859900
